school_id,school_name,district,block,enrollment,teachers,attendance_rate,infrastructure_score,teacher_training_score,numeracy_score,literacy_score,dropout_rate
SCH001,Govt Primary School A,Ludhiana,Block A,184,8,91,82,88,76,81,2.1
SCH002,Govt Primary School B,Ludhiana,Block A,156,6,86,71,74,61,68,4.8
SCH003,Govt Primary School C,Ludhiana,Block A,203,7,88,79,81,69,73,3.7
SCH004,Govt Primary School D,Ludhiana,Block A,142,5,79,64,62,52,59,7.4
SCH005,Govt Primary School E,Ludhiana,Block B,221,8,93,91,94,84,87,1.4
SCH006,Govt Primary School F,Ludhiana,Block B,176,7,89,83,86,77,79,2.8
SCH007,Govt Primary School G,Ludhiana,Block B,194,6,84,69,72,63,66,5.2
SCH008,Govt Primary School H,Ludhiana,Block B,128,5,76,58,61,47,55,9.1
SCH009,Govt Primary School I,Ludhiana,Block C,238,9,94,88,92,89,91,1.0
SCH010,Govt Primary School J,Ludhiana,Block C,167,6,87,73,78,67,71,4.1
SCH011,Govt Primary School K,Ludhiana,Block C,149,5,82,66,68,58,63,6.3
SCH012,Govt Primary School L,Ludhiana,Block C,215,8,90,81,84,74,78,2.6
SCH013,Govt Primary School M,Ludhiana,Block D,189,7,85,75,70,64,69,5.0
SCH014,Govt Primary School N,Ludhiana,Block D,132,5,78,61,59,49,54,8.3
SCH015,Govt Primary School O,Ludhiana,Block D,201,7,91,86,89,81,84,1.9
SCH016,Govt Primary School P,Ludhiana,Block D,158,6,83,68,65,56,62,6.7
SCH017,Govt Primary School Q,Ludhiana,Block E,226,8,92,89,91,86,88,1.2
SCH018,Govt Primary School R,Ludhiana,Block E,171,6,88,77,80,71,75,3.5
SCH019,Govt Primary School S,Ludhiana,Block E,145,5,80,63,64,51,57,7.8
SCH020,Govt Primary School T,Ludhiana,Block E,198,7,86,72,76,65,70,4.6
